Date_reported,Country,WHO_region,Cumulative_cases,Population,Cases per Capita
2020-01-19,Bulgaria,EURO,0,6844597.0,0.1892625672482981
2020-01-19,Italy,EURO,0,60262770.0,0.4223800034415942
2020-01-19,Bermuda,AMRO,0,61939.0,0.3029755081612554
2020-01-19,Uzbekistan,EURO,0,34382084.0,0.0072877199648514
2020-01-19,Trinidad and Tobago,AMRO,0,1406585.0,0.1335916421687989
2020-01-19,Algeria,AFRO,0,45350148.0,0.0059840598535643
2020-01-19,Senegal,AFRO,0,17653671.0,0.0050358931012139
2020-01-19,New Zealand,WPRO,0,4898203.0,0.4455419671254948
2020-01-19,Ecuador,AMRO,0,18113361.0,0.0580366614456588
2020-01-19,New Caledonia,WPRO,0,290915.0,0.2744616124984961
2020-01-19,Iceland,EURO,0,345393.0,0.6042044859044624
2020-01-19,Azerbaijan,EURO,0,10300205.0,0.0803813127991141
2020-01-19,India,SEARO,0,1406631776.0,0.0317658002345597
2020-01-19,Nicaragua,AMRO,0,6779100.0,0.0027276482128896
2020-01-19,Saudi Arabia,EMRO,0,35844909.0,0.0230984545113505
2020-01-19,Chile,AMRO,0,19250195.0,0.2659183971902622
2020-01-19,Nepal,SEARO,0,30225582.0,0.0331210164952324
2020-01-19,Indonesia,SEARO,0,279134505.0,0.0241112756733532
2020-01-19,Nauru,WPRO,0,10903.0,0.4238283041364762
2020-01-19,Nigeria,AFRO,0,216746934.0,0.0012293737912804
2020-01-19,Anguilla,AMRO,0,15230.0,0.2563361785948785
2020-01-19,Israel,EURO,0,9326000.0,0.5132092000857816
2020-01-19,Bahamas,AMRO,0,400516.0,0.0936067472959881
2020-01-19,Myanmar,SEARO,0,55227143.0,0.0114766030898973
2020-01-19,Cayman Islands,AMRO,0,67277.0,0.4677973155759026
2020-01-19,Chad,AFRO,0,17413580.0,0.0004394271597224
2020-01-19,San Marino,EURO,0,34085.0,0.6873111339298812
2020-01-19,Namibia,AFRO,0,2633874.0,0.0648250447819447
2020-01-19,Niger,AFRO,0,26083660.0,0.0003807364457288
